"strain","mean_median_wormlength_um_delta_reg"
"AF16",-124.420098577253
"BRC20092",-134.255035742223
"BRC20094",-117.220893313824
"BRC20232",-137.909552904657
"BRC20238",-93.6183913675193
"BRC20246",-91.8633831725897
"ECA163",-111.764103199095
"ECA1657",-127.099816549435
"ECA2115",-127.443587243347
"ECA2299",-129.579497330338
"ECA2425",-185.587707190435
"ECA2667",-133.574891144046
"ECA276",-94.1773599155921
"EG6260",-136.561068618283
"EG6267",-112.494194777311
"EG6271",-136.345689899778
"JU1346",-124.934728851365
"JU1348",-142.523420659527
"JU2472",-95.1591878552338
"JU3416",-123.194955551955
"NIC1052",61.3875917772533
"NIC1645",-111.989274317875
"NIC1667",-126.897808722418
"NIC248",-135.286404968682
"NIC532",-105.636323301108
"NIC827",-108.429257921377
"NIC828",-96.3865634189599
"PE887",53.6460159400857
"QG2908",-152.092610632831
"QG4070",-116.124748396708
"QG4097",-109.763782414028
"QG4233",-116.278353177482
"QR25",-64.0943882541413
"QX1410",-136.692911545483
"VT847",-136.237322486424
"XZ1213",-124.928435782364
"XZ1731",-105.496965761573
